,Air Power,Cadence,Form Power,Ground Time,Leg Spring Stiffness,Power,Vertical Oscillation
15286,0.0,82.0,110.0,280.0,13.625,359.0,7.25
15287,0.0,82.0,110.0,278.0,13.625,360.0,7.25
15288,1.0,82.0,110.0,276.0,13.625,360.0,7.125
15289,0.0,82.0,110.0,280.0,13.375,358.0,7.125
15290,0.0,82.0,110.0,280.0,13.375,356.0,7.125
15291,0.0,82.0,110.0,280.0,13.5,354.0,7.125
15292,0.0,82.0,110.0,282.0,13.5,350.0,7.125
15293,0.0,82.0,110.0,282.0,13.625,350.0,6.875
15294,0.0,82.0,110.0,282.0,13.5,349.0,6.875
15295,0.0,82.0,110.0,284.0,13.5,347.0,7.0
15296,1.0,82.0,110.0,286.0,13.5,343.0,7.0
15297,1.0,82.0,109.0,286.0,13.625,343.0,7.125
15298,1.0,82.0,109.0,284.0,13.75,342.0,7.125
15299,2.0,81.0,109.0,284.0,13.625,344.0,7.375
15300,2.0,81.0,109.0,286.0,13.5,343.0,7.625
15301,2.0,80.0,109.0,286.0,13.75,340.0,7.625
15302,2.0,80.0,110.0,286.0,13.875,340.0,7.5
15303,2.0,80.0,111.0,284.0,13.875,344.0,7.375
15304,2.0,80.0,112.0,286.0,13.625,349.0,7.375
15305,2.0,80.0,112.0,290.0,13.625,354.0,7.375
15306,2.0,80.0,111.0,290.0,13.25,357.0,7.125
15307,1.0,80.0,111.0,294.0,13.125,359.0,7.0
15308,1.0,81.0,110.0,294.0,13.125,364.0,6.875
15309,1.0,81.0,110.0,298.0,13.125,363.0,6.875
15310,1.0,80.0,110.0,298.0,13.125,357.0,7.0
15311,1.0,81.0,108.0,298.0,13.125,359.0,7.0
15312,2.0,81.0,107.0,296.0,13.25,361.0,7.125
15313,2.0,81.0,107.0,296.0,13.25,361.0,7.125
15314,2.0,81.0,108.0,292.0,13.375,364.0,7.125
15315,2.0,81.0,108.0,292.0,13.125,367.0,7.125
15316,2.0,81.0,108.0,294.0,13.125,366.0,7.0
15317,2.0,81.0,108.0,296.0,13.0,366.0,6.875
15318,1.0,81.0,108.0,298.0,13.0,364.0,7.0
15319,1.0,81.0,108.0,300.0,13.0,360.0,7.0
15320,1.0,81.0,108.0,300.0,13.375,360.0,6.875
15321,1.0,81.0,107.0,298.0,13.375,356.0,6.875
15322,1.0,81.0,106.0,300.0,13.375,354.0,6.75
15323,1.0,81.0,106.0,300.0,13.25,354.0,6.75
15324,1.0,81.0,106.0,300.0,13.25,356.0,6.75
15325,1.0,81.0,106.0,300.0,13.125,356.0,6.75
15326,1.0,81.0,106.0,302.0,13.0,358.0,6.625
15327,1.0,81.0,105.0,304.0,12.75,356.0,6.625
15328,0.0,81.0,105.0,304.0,12.75,354.0,6.5
15329,0.0,81.0,105.0,304.0,12.75,353.0,6.625
15330,1.0,82.0,104.0,304.0,12.875,351.0,6.625
15331,1.0,81.0,104.0,304.0,13.125,347.0,6.75
15332,1.0,81.0,104.0,302.0,13.25,345.0,6.75
15333,1.0,81.0,104.0,302.0,13.375,344.0,6.75
15334,1.0,82.0,104.0,300.0,13.5,342.0,6.75
15335,1.0,81.0,104.0,298.0,13.625,345.0,6.875
15336,1.0,81.0,104.0,296.0,13.625,349.0,6.875
15337,2.0,81.0,105.0,296.0,13.25,352.0,6.625
15338,2.0,81.0,105.0,296.0,13.25,355.0,6.625
15339,2.0,81.0,105.0,294.0,13.375,355.0,6.75
15340,2.0,81.0,105.0,294.0,13.25,356.0,6.875
15341,2.0,81.0,106.0,296.0,13.125,356.0,6.875
15342,1.0,81.0,106.0,296.0,13.125,355.0,6.875
15343,1.0,80.0,106.0,296.0,13.0,352.0,6.875
15344,1.0,80.0,106.0,300.0,13.0,349.0,6.875
15345,1.0,80.0,106.0,302.0,12.875,348.0,6.875
15346,1.0,80.0,106.0,306.0,12.625,350.0,6.625
15347,1.0,80.0,106.0,310.0,12.5,348.0,6.625
15348,1.0,79.0,106.0,312.0,12.625,344.0,6.625
15349,1.0,80.0,105.0,316.0,12.625,339.0,6.5
